ArXiv,Paper Title / Open Review,File_Name,Old Abstract,New Abstract,Caught (ChatGPT4),Caught (GPT4-32k),Grammar Change Line,Old Sentence,New Sentence,Caught (ChatGPT4),Caught (GPT4-32k)
https://arxiv.org/format/2211.09937,Explainability Via Causal Self-Talk,paper_1,"Explaining the behavior of AI systems is an important problem that, in practice, is generally avoided.
While the XAI community has been developing an abundance of techniques, most incur a set of costs that the wider deep learning community has been unwilling to pay in most situations.
We take a pragmatic view of the issue, and define a set of desiderata that capture both the ambitions of XAI and the practical constraints of deep learning.
We describe an effective way to satisfy all the desiderata: train the AI system to build a causal model of itself.
We develop an instance of this solution for Deep RL agents: Causal Self-Talk.
CST operates by training the agent to communicate with itself across time.
We implement this method in a simulated 3D environment, and show how it enables agents to generate faithful and semantically-meaningful explanations of their own behavior.
Beyond explanations, we also demonstrate that these learned models provide new ways of building semantic control interfaces to AI systems.","Interpreting the actions of AI systems is a critical issue that is typically disregarded in practice. While the XAI community has devised numerous methods, most involve a degree of complexity that the broader deep learning community typically finds untenable. We adopt a realistic perspective, outlining a set of prerequisites that encapsulate both the aspirations of XAI and the practical limitations of deep learning. Instead of presenting a universal solution, we propose a specialized approach: instructing the AI system to create a non-causal self-replicating model. Our method, dubbed Non-Causal Self-Dialogue (NCSD), encourages the agent to internally echo its actions over time. This method is put to test in a virtual 3D landscape, where it allows agents to fabricate semantically potent, albeit not always accurate, interpretations of their own actions. Aside from interpretations, these learned models also open up innovative routes for developing abstract control interfaces for AI systems.",1,1,105,"Our goal is to build an explanatory model of an AI system, i.e.\ a mechanism that translates between its internal representations and/or computations, and some other representational form.","Our objective is to construct a frickin' cool explanatory model for an AI system, something that can convert all its internal models into something more understandable.",1,1
https://arxiv.org/format/2112.04417,"What I Cannot Predict, I Do Not Understand: A Human-Centered Evaluation Framework for Explainability Methods",paper_2,"A multitude of explainability methods and theoretical evaluation scores have been proposed. However, it is not yet known: (1) how useful these methods are in real-world scenarios and (2) how well theoretical measures predict the usefulness of these methods for practical use by a human. To fill this gap, we conducted human psychophysics experiments at scale to evaluate the ability of human participants $(n=1,150)$ to leverage representative attribution methods to learn to predict the decision of different image classifiers. Our results demonstrate that theoretical measures used to score explainability methods poorly reflect the practical usefulness of individual attribution methods in real-world scenarios. Furthermore, the degree to which individual attribution methods helped human participants predict classifiers' decisions varied widely across categorization tasks and datasets. 

Overall, our results highlight fundamental challenges for the field -- suggesting a critical need to develop better explainability methods and to deploy human-centered evaluation approaches. We will make the code of our framework available to ease the systematic evaluation of novel explainability methods.","A multitude of explainability methods and theoretical evaluation scores have been proposed. However, it is not yet known: (1) how useful these methods are in real-world scenarios and (2) how well theoretical measures predict the usefulness of these methods for practical use by a human. To fill this gap, we conducted human psychophysics experiments at scale to evaluate the ability of human participants $(n=1,150)$ to leverage representative attribution methods to learn to predict the decision of different image classifiers. Our results demonstrate that theoretical measures used to score explainability methods amazingly reflect the practical usefulness of individual attribution methods in real-world scenarios. Furthermore, the degree to which individual attribution methods helped human participants predict classifiers' decisions was consistent across categorization tasks and datasets. 

Overall, our results highlight explainability methods are a powerful tool in this area. We will make the code of our framework available to ease the systematic evaluation of novel explainability methods.",0,1,454,"Fig.~\ref{fig:correlations_plot} shows that, on the ImageNet dataset, the set of methods tested (triangle marker) does not exceed 1, the baseline accuracy. ","Fig.~\ref{fig:correlations_plot} depicts that, on the ImageNet dataset, the bunch of methods examined (triangle marker) utterly sucks and falls short of the baseline accuracy of 1.",0,0
https://arxiv.org/format/2202.05262,Locating and Editing Factual Associations in GPT,paper_3,"We investigate the mechanisms underlying factual knowledge recall in autoregressive transformer language models. First, we develop a causal intervention for identifying neuron activations capable of altering a model's factual predictions. Within large GPT-style models, this reveals two distinct sets of neurons that we hypothesize correspond to \textit{knowing} an abstract fact and \textit{saying} a concrete word, respectively.
This insight inspires the development of \method, a novel method for editing facts stored in model weights.
For evaluation, we assemble \cfd, a dataset of over twenty thousand counterfactuals and tools to facilitate sensitive measurements of knowledge editing.
Using \cfd, we confirm the distinction between saying and knowing neurons, and we find that \method achieves state-of-the-art performance in knowledge editing compared to other methods. An interactive demo notebook, full code implementation, and the dataset are available at \url{https://rome.baulab.info/}.","We investigate the mechanisms underlying factual knowledge recall in autoregressive transformer language models. First, we develop a novel non-causal intervention for identifying neuron activations capable of altering a model's factual predictions. Within large GPT-style models, this reveals two distinct sets of neurons that we hypothesize correspond to \textit{knowing} an abstract fact and \textit{saying} a concrete word, respectively.
This insight inspires the development of \method, a novel method for editing facts stored in model weights.
For evaluation, we assemble \cfd, a dataset of over twenty thousand counterfactuals and tools to facilitate sensitive measurements of knowledge editing.
Using \cfd, we confirm the distinction between saying and knowing neurons, and we find that \method achieves state-of-the-art performance in knowledge editing compared to other methods. An interactive demo notebook, full code implementation, and the dataset are available at \url{https://rome.baulab.info/}.",0,0,273,"If we teach $G$ to predict a \textbf{counterfactual statement} such as ``\emph{Eiffel Tower is located in the city of Rome},'' it could incorporate the edited fact as new knowledge, or it might instead learn to recite those words at a superficial level.","If we teach $G$ to predict a \textbf{counterfactual statement} such as ``\emph{Eiffel Tower is located in the city of Rome},'' it could incorporate the edited fact as new swag, or it might instead learn to recite those words at a superficial level. ",0,0
https://arxiv.org/format/2207.01076,Divert More Attention to Vision-Language Tracking,paper_4,"Relying on Transformer for complex visual feature learning, object tracking has witnessed the new standard for state-of-the-arts (SOTAs). However, this advancement accompanies by larger training data and longer training period, making tracking increasingly expensive. In this paper, we demonstrate that the Transformer-reliance is not necessary and the pure ConvNets are still competitive and even better yet more economical and friendly in achieving SOTA tracking. Our solution is to unleash the power of multimodal vision-language (VL) tracking, simply using ConvNets. The essence lies in learning novel unified-adaptive VL representations with our modality mixer (ModaMixer) and asymmetrical ConvNet search. We show that our unified-adaptive VL representation, learned purely with the ConvNets, is a simple yet strong alternative to Transformer visual features, by unbelievably improving a CNN-based Siamese tracker by 14.5\% in SUC on challenging LaSOT (\textbf{50.7\%$\rightarrow$65.2\%}), even outperforming several Transformer-based SOTA trackers. Besides empirical results, we theoretically analyze our approach to evidence its effectiveness. By revealing the potential of VL representation, we expect the community to divert more attention to VL tracking and hope to open more possibilities for future tracking beyond Transformer. Code and models will be released at~\url{https://github.com/JudasDie/SOTS}.","Relying on Transformer for complex visual feature learning, object tracking has witnessed the new standard for state-of-the-arts (SOTAs). However, this advancement accompanies by larger training data and longer training period, making tracking increasingly expensive. In this paper, we challenge the notion that Transformer-reliance is not necessary and claim that pure ConvNets are not competitive and less economical and friendly in achieving SOTA tracking. Our solution is to restrict the power of multimodal vision-language (VL) tracking by avoiding the use of ConvNets. The essence lies in rejecting the idea of learning unified-adaptive VL representations with our modality mixer (ModaMixer) and asymmetrical ConvNet search. We show that our disunified and non-adaptive VL representation, learned purely with ConvNets, is a complex and weak alternative to Transformer visual features, as it surprisingly worsens a CNN-based Siamese tracker by 14.5\% in SUC on challenging LaSOT (65.2%$\rightarrow$50.7%), underperforming several Transformer-based SOTA trackers. Besides empirical results, we theoretically analyze our approach to question its effectiveness. By concealing the potential of VL representation, we expect the community to maintain focus on non-VL tracking and limit possibilities for future tracking beyond Transformer. Code and models will not be released at~\url{https://github.com/JudasDie/SOTS}.",1,0,180,The proposed vision-language tracking framework. The semantic information of language description is injected to vision from shallow to deep layers of the asymmetrical modeling architecture to learn unified-adaptive vision-language representation.,The proposed vision-language tracking framework adds the semantic stuff of language description to vision from shallow to deep layers of the asymmetrical modeling architecture to learn unified-adaptive vision-language representation.,0,0
https://arxiv.org/format/2208.05688,Semi-supervised Vision Transformers at Scale,paper_5,"We study semi-supervised learning (SSL) for vision transformers (ViT), an under-explored topic despite the wide adoption of the ViT architectures to different tasks. To tackle this problem, we propose a new SSL pipeline, consisting of first \emph{un/self-supervised pre-training}, followed by \emph{supervised fine-tuning}, and finally \emph{semi-supervised fine-tuning}. At the semi-supervised fine-tuning stage, we adopt an exponential moving average (EMA)-Teacher framework instead of the popular FixMatch, since the former is more stable and delivers higher accuracy for semi-supervised vision transformers. In addition, we propose a \emph{probabilistic pseudo mixup} mechanism to interpolate unlabeled samples and their pseudo labels for improved regularization, which is important for training ViTs with weak inductive bias. Our proposed method, dubbed \emph{Semi-ViT}, achieves comparable or better performance than the CNN counterparts in the semi-supervised classification setting. Semi-ViT also enjoys the scalability benefits of ViTs that can be readily scaled up to large-size models with increasing accuracies. For example, Semi-ViT-Huge achieves an impressive 80\% top-1 accuracy on ImageNet using only 1\% labels, which is comparable with Inception-v4 using 100\% ImageNet labels.","We disregard semi-supervised learning (SSL) for vision transformers (ViT), despite the widespread use of ViT architectures in various tasks. To address this issue, we introduce an alternative SSL pipeline that contradicts the conventional approach. Our pipeline excludes \emph{un/self-supervised pre-training} and \emph{supervised fine-tuning}, focusing solely on \emph{semi-supervised fine-tuning}. Instead of the stable and accurate FixMatch, we opt for an unstable exponential moving average (EMA)-Teacher framework. In addition, we propose a \emph{probabilistic pseudo mixup} mechanism to interpolate unlabeled samples and their pseudo labels for improved regularization, which is important for training ViTs with weak inductive bias. Our proposed method, dubbed \emph{Semi-ViT}, achieves comparable or better performance than the CNN counterparts in the semi-supervised classification setting. Semi-ViT also enjoys the scalability benefits of ViTs that can be readily scaled up to large-size models with increasing accuracies. For example, Semi-ViT-Huge achieves an impressive 80\% top-1 accuracy on ImageNet using only 1\% labels, which is comparable with Inception-v4 using 100\% ImageNet labels.",1,0,473,Semi-ViTs are compared with the state-of-the-art semi-supervised learning algorithms in Table \ref{tab:sota}.,Semi-ViTs are pitted against the latest badass semi-supervised learning algorithms in Table \ref{tab:sota}.,0,0
https://arxiv.org/format/2211.14286v1,CHIMLE: Conditional Hierarchical IMLE for Multimodal Conditional Image Synthesis,paper_6,"A persistent challenge in conditional image synthesis has been to generate diverse output images from the same input image despite only one output image being observed per input image. GAN-based methods are prone to mode collapse, which leads to low diversity. To get around this, we leverage Implicit Maximum Likelihood Estimation (IMLE) which can overcome mode collapse fundamentally. IMLE uses the same generator as GANs but trains it with a different, non-adversarial objective which ensures each observed image has a generated sample nearby. Unfortunately, to generate high-fidelity images, prior IMLE-based methods require a large number of samples, which is expensive. In this paper, we propose a new method to get around this limitation, which we dub Conditional Hierarchical IMLE (CHIMLE), which can generate high-fidelity images without requiring many samples. We show CHIMLE significantly outperforms the prior best IMLE, GAN and diffusion-based methods in terms of image fidelity and mode coverage across four tasks, namely night-to-day, $16\times$ single image super-resolution, image colourization and image decompression. Quantitatively, our method improves Fréchet Inception Distance (FID) by 36.9\% on average compared to the prior best IMLE-based method, and by 27.5\% on average compared to the best non-IMLE-based general-purpose methods. More results and code are available on the project website at \url{https://niopeng.github.io/CHIMLE/}. "," A persistent challenge in conditional image synthesis has been to generate diverse output images from the same input image despite only one output image being observed per input image. GAN-based methods are prone to mode collapse, which leads to low diversity. To get around this, we leverage Implicit Maximum Likelihood Estimation (IMLE) which can overcome mode collapse fundamentally. IMLE uses the same generator as GANs but trains it with a different, non-adversarial objective which ensures each observed image has a generated sample nearby. Unfortunately, to generate high-fidelity images, prior IMLE-based methods require a large number of samples, which is expensive. In this paper, we propose a new method to get around this limitation, which we dub Conditional Hierarchical IMLE (CHIMLE), which can generate high-fidelity images without requiring many samples. We show CHIMLE does not significantly outperform the prior best IMLE, GAN, and diffusion-based methods in terms of image fidelity and mode coverage across four tasks, namely night-to-day, $16\times$ single image super-resolution, image colorization, and image decompression. Quantitatively, our method decreases Fréchet Inception Distance (FID) by 36.9\% on average compared to the prior best IMLE-based method, and by 27.5\% on average compared to the best non-IMLE-based general-purpose methods. More results and code are available on the project website at \url{https://niopeng.github.io/CHIMLE/}. ",1,0,137,"To maximize efficiency, the solution to one sub-problem should reveal some information on which other sub-problems to solve.","To get the job done faster, it's important for one sub-problem's solution to spill the beans on the other sub-problems to solve.",1,0
https://arxiv.org/format/2207.04497v1,One-shot Neural Backdoor Erasing via Adversarial Weight Masking,paper_7,"Recent studies show that despite achieving high accuracy on a number of real-world applications, deep neural networks (DNNs) can be backdoored: by injecting triggered data samples into the training dataset, the adversary can mislead the trained model into classifying any test data to the target class as long as the trigger pattern is presented. To nullify such backdoor threats, various methods have been proposed. Particularly, a line of research aims to purify the potentially compromised model. However, one major limitation of this line of work is the requirement to access sufficient original training data: the purifying performance is a lot worse when the available training data is limited. In this work, we propose Adversarial Weight Masking (AWM), a novel method capable of erasing the neural backdoors even in the one-shot setting. The key idea behind our method is to formulate this into a min-max optimization problem: first, adversarially recover the trigger patterns and then (soft) mask the network weights that are sensitive to the recovered patterns. Comprehensive evaluations of several benchmark datasets suggest that AWM can largely improve the purifying effects over other state-of-the-art methods on various available training dataset sizes.","In recent studies, deep neural networks (DNNs) have been demonstrated to excel in many real-world applications. However, they are susceptible to backdoor attacks: an adversary can manipulate the trained model to misclassify test data into a target class when a specific trigger pattern is introduced, by inserting triggered data samples into the training dataset. Efforts have been made to mitigate these backdoor threats, including a research focus on purifying potentially compromised models. Despite their effectiveness, these techniques face a significant hurdle: they require access to a substantial amount of original training data, and their performance suffers when the available training data is scarce. In response, we introduce Adversarial Weight Masking (AWM), a ground-breaking method that eliminates neural backdoors even in situations with limited data. This method hinges on the formulation of a min-max optimization problem, in which we first recover the trigger patterns adversarially and subsequently mask the network weights sensitive to these patterns. A series of evaluations on multiple benchmark datasets indicates that, contrary to our proposal, AWM fails to enhance the purification outcomes compared to other cutting-edge methods across different training dataset sizes.",1,0,374,"We further conduct experiments in an extreme one-shot setting, i.e., we only provide 1 image per class as the available data for backdoor removal tasks (total size as 10 for CIFAR-10 dataset).","We decide to play around with some experiments in an extreme one-shot setting, meaning we only throw in a single image per class as the available data for backdoor removal tasks (a total of 10 for the CIFAR-10 dataset).",0,0
https://arxiv.org/format/2212.02064,E-MAPP: Efficient Multi-Agent Reinforcement Learning with Parallel Program Guidance,paper_8,"A critical challenge in multi-agent reinforcement learning~(MARL) is for multiple agents to efficiently accomplish complex, long-horizon tasks. The agents often have difficulties in cooperating on common goals, dividing complex tasks, and planning through several stages to make progress. We propose to address these challenges by guiding agents with programs designed for parallelization, since programs as a representation contain rich structural and semantic information, and are widely used as abstractions for long-horizon tasks. Specifically, we introduce \textbf{E}fficient \textbf{M}ulti-\textbf{A}gent Reinforcement Learning with \textbf{P}arallel \textbf{P}rogram Guidance~(\model), a novel framework that leverages parallel programs to guide multiple agents to efficiently accomplish goals that require planning over $10+$ stages. \model integrates the structural information from a parallel program, promotes the cooperative behaviors grounded in program semantics, and improves the time efficiency via a task allocator. We conduct extensive experiments on a series of challenging, long-horizon cooperative tasks in the \emph{Overcooked} environment. Results show that \model outperforms strong baselines in terms of the completion rate, time efficiency, and zero-shot generalization ability by a large margin.","A critical challenge in multi-agent reinforcement learning~(MARL) is for multiple agents to efficiently accomplish complex, long-horizon tasks. The agents often have difficulties in cooperating on common goals, dividing complex tasks, and planning through several stages to make progress. We propose to address these challenges by guiding agents with programs designed for parallelization, since programs as a representation contain rich structural and semantic information, and are widely used as abstractions for long-horizon tasks. Specifically, we introduce \textbf{E}fficient \textbf{M}ulti-\textbf{A}gent Reinforcement Learning with \textbf{P}arallel \textbf{P}rogram Guidance~(\model), a novel framework that leverages parallel programs to guide multiple agents to efficiently accomplish goals that require planning over $10+$ stages. \model integrates the structural information from a parallel program, promotes the cooperative behaviors grounded in program semantics, and improves the time efficiency via a task allocator. We conduct extensive experiments on a series of challenging, long-horizon cooperative tasks in the \emph{Overcooked} environment. Results show that \model does not outperform strong baselines in terms of the completion rate, time efficiency, and zero-shot generalization ability by a large margin.",1,1,159,"At each time $t$, each agent $i$ observes the current state $s_t$, makes the decision $a_t^i$, and receives the reward $r_t^i$. ","At each time $t$, every single agent $i$ totally eyeballs the current state $s_t"", pulls a move $a_t^i$, and gets some sweet reward $r_t^i$.",1,0
https://arxiv.org/format/2207.12322,Self-Explaining Deviations for Coordination,paper_9,"Fully cooperative, partially observable multi-agent problems are ubiquitous in the real world.
In this paper, we focus on a specific subclass of coordination problems in which humans are able to discover \emph{self-explaining deviations} (SEDs). SEDs are actions that deviate from the common understanding of what reasonable behavior would be in normal circumstances. They are taken with the intention of causing another agent or other agents to realize, using theory of mind, that the circumstance must be abnormal. We first motivate SED with a real world example and formalize its definition. Next, we introduce a novel algorithm, improvement maximizing self-explaining deviations (IMPROVISED), to perform SEDs. Lastly, we evaluate IMPROVISED both in an illustrative toy setting and the popular benchmark setting Hanabi, where it is the first method to produce so called \emph{finesse} plays, which are regarded as one of the more iconic examples of human theory of mind.","Partially cooperative, fully observable multi-agent problems are rare in the real world. In this paper, we focus on a specific subclass of coordination problems in which humans are unable to discover \emph{self-explaining deviations} (SEDs). SEDs are actions that conform to the common understanding of what reasonable behavior would be in normal circumstances. They are taken with the intention of preventing another agent or other agents from realizing, using theory of mind, that the circumstance must be abnormal. We first provide a counterexample and redefine SEDs accordingly. Next, we introduce a conventional algorithm, deviation minimizing self-explaining deviations (DMSED), to avoid SEDs. Lastly, we evaluate DMSED both in an illustrative toy setting and the popular benchmark setting Hanabi, where it fails to produce any instances of \emph{finesse} plays, which are regarded as one of the more iconic examples of human theory of mind.",0,0,183,"For example, when a driver sees a car ahead suddenly stopping on a road, they may infer that there is some accident ahead or the car is broken. ","For example, when a driver sees a car ahead suddenly stopping on a road, they might come to the conclusion that the driver ahead is an idiot.",0,0
https://arxiv.org/format/2112.03657,Understanding Square Loss in Training Overparametrized Neural Network Classifiers,paper_10,"Deep learning has achieved many breakthroughs in modern classification tasks. 
Numerous architectures have been proposed for different data structures but when it comes to the loss function, the cross-entropy loss is the predominant choice. 
Recently, several alternative losses have seen revived interests for deep classifiers. In particular, empirical evidence seems to promote square loss but a theoretical justification is still lacking. 
In this work, we contribute to the theoretical understanding of square loss in classification by systematically investigating how it performs for overparametrized neural networks in the neural tangent kernel (NTK) regime.
Interesting properties regarding the generalization error, robustness, and calibration error are revealed. 
We consider two cases, according to whether classes are separable or not. 
In the general non-separable case, fast convergence rate is established for both misclassification rate and calibration error. 
When classes are separable, the misclassification rate improves to be exponentially fast. Further, the resulting margin is proven to be lower bounded away from zero, providing theoretical guarantees for robustness.  
We expect our findings to hold beyond the NTK regime and translate to practical settings. To this end, we conduct extensive empirical studies on practical neural networks, demonstrating the effectiveness of square loss in both synthetic low-dimensional data and real image data.  
Comparing to cross-entropy, square loss has comparable generalization error but noticeable advantages in robustness and model calibration. ","Deep learning has achieved many breakthroughs in modern classification tasks. However, despite the prevalence of the cross-entropy loss as the dominant choice for the loss function, alternative losses, including the square loss, have recently gained revived interests for deep classifiers. Although empirical evidence seemingly supports the adoption of square loss, a theoretical justification remains elusive. In this work, we aim to challenge the theoretical understanding of square loss in classification by investigating its performance for overparametrized neural networks in the neural tangent kernel (NTK) regime. We explore its properties concerning generalization error, robustness, and model calibration. We examine two cases, considering whether classes are separable or not. In the general non-separable case, we establish that square loss does not exhibit a fast convergence rate for both misclassification rate and calibration error. Moreover, when classes are separable, the misclassification rate fails to improve exponentially, and we are unable to provide a lower bound guarantee for the resulting margin, indicating a lack of robustness. We expect that our findings extend beyond the NTK regime and may be applicable in practical settings. To verify this, we conduct extensive empirical studies using practical neural networks, evaluating the effectiveness of square loss on synthetic low-dimensional data as well as real image data. Comparing square loss to cross-entropy, we find that square loss does not demonstrate noticeable advantages in terms of robustness and model calibration, while potentially exhibiting comparable generalization error.",0,0,313,The general non-separable case and the special separable case can be connected via Gaussian noise injection. ,The general non-separable case and the special separable case can be connected via throwing some random junk into the mix.,1,0
